馬名,金額(Pt),毛色,成長,馬場,脚質,ＳＰ,ＳＴ,根性,瞬発,気性,体質,距離(下限),距離(上限),隠し,三冠,系統,①父,因子,系統,母,系統,②父父,因子,系統,父母,系統,③母父,因子,系統,母母,系統,④父父父,因子,系統,父父母,系統,⑤父母父,因子,系統,父母母,系統,⑥母父父,因子,系統,母父母,系統,⑦母母父,因子,系統,母母母,系統,⑧父父父父,因子,系統,⑨父父母父,因子,系統,⑩父母父父,因子,系統,⑪父母母父,因子,系統,⑫母父父父,因子,系統,⑬母父母父,因子,系統,⑭母母父父,因子,系統,⑮母母母父,因子,系統
Snow Fairy,50000,鹿毛,早め,芝,自,A+,A+,A+,A+,S+,S+,1800,2400,★,,ロベルト,Intikhab,sy1,ロベルト,ウッドランドドリーム,マンノウォー,Red Ransom,sp1,ロベルト,Crafty Example,ミスタープロスペクター,Charnwood Forest,#N/A,マンノウォー,Fantasy Girl,ノーザンダンサー,Roberto,st2kon1,ロベルト,アラビアII,ダマスカス,Crafty Prospector,sp1sy1,ミスタープロスペクター,Zienelle,ダンチヒ,ウォーニング,#N/A,マンノウォー,Dance of Leaves,サドラーズウェルズ,Marju,st1,ノーザンダンサー,Persian Fantasy,ボールドルーラー,Hail to Reason,sp1,ヘイルトゥリーズン,Damascus,sp2sy1,ダマスカス,Mr. Prospector,sp2sy1,ミスタープロスペクター,Danzig,sp2sy1,ダンチヒ,Known Fact,#N/A,マンノウォー,Sadler's Wells,st2kon1,サドラーズウェルズ,ラストタイクーン,sp1,ノーザンダンサー,Persian Bold,#N/A,ボールドルーラー
Winx,50000,鹿毛,普通,芝,先,S,A,A,S,S+,S+,1400,2000,★,,ミスタープロスペクター,Street Cry,sp1,ミスタープロスペクター,ベガスショーガール,プリンスローズ,Machiavellian,sp1st1,ミスタープロスペクター,Helen Street,フェアウェイ,Al Akbar,#N/A,プリンスローズ,Vegas Magic,ノーザンダンサー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Coup de Folie,ヘイルトゥリーズン,Troy,kon1,フェアウェイ,Waterway,ナスルーラ,Success Express,#N/A,プリンスローズ,Gala Night,トウルビヨン,Voodoo Rhythm,#N/A,ノーザンダンサー,Vegas Street,グレイソヴリン,Raise a Native,sp2sy1,レイズアネイティヴ,Halo,sp2sy1,ヘイルトゥリーズン,Petingo,kon1,フェアウェイ,Riverman,sp1kon1,ナスルーラ,Hold Your Peace,sp1,プリンスローズ,Blakeney,sy1,トウルビヨン,Northern Dancer,st2kon1,ノーザンダンサー,Sovereign Edition,#N/A,グレイソヴリン
Zenyatta,50000,黒鹿毛,晩成,ダ,自,A+,A+,A+,A+,S+,S+,1800,2400,★,,ミスタープロスペクター,Street Cry,sp1,ミスタープロスペクター,Vertigineux,ロベルト,Machiavellian,sp1st1,ミスタープロスペクター,Helen Street,フェアウェイ,Kris S.,st1kon1,ロベルト,For the Flag,ハイペリオン,Mr. Prospector,sp2sy1,ミスタープロスペクター,Coup de Folie,ヘイルトゥリーズン,Troy,kon1,フェアウェイ,Waterway,ナスルーラ,Roberto,st2kon1,ロベルト,Sharp Queen,プリンスローズ,Forli,sp1,ハイペリオン,In the Offing,リボー,Raise a Native,sp2sy1,レイズアネイティヴ,Halo,sp2sy1,ヘイルトゥリーズン,Petingo,kon1,フェアウェイ,Riverman,sp1kon1,ナスルーラ,Hail to Reason,sp1,ヘイルトゥリーズン,Princequillo,sp1sy1,プリンスローズ,Aristophanes,#N/A,ハイペリオン,Hoist the Flag,kon1,リボー
Stacelita,50000,青鹿毛,早め,芝,逃,A+,A+,A+,A+,S+,S+,1800,2400,★,,ブランドフォード,Monsun,st2,ブランドフォード,Soignee,ミルリーフ,Konigsstuhl,kon1,ブランドフォード,Mosella,ヘロド,Dashing Blade,#N/A,ミルリーフ,Suivez,ノーザンダンサー,Dschingis Khan,kon1,ブランドフォード,Konigskronung,トウルビヨン,Surumu,kon1,ヘロド,Monasia,ハイペリオン,Elegant Air,#N/A,ミルリーフ,Sharp Castan,エタン,Fioravanti,#N/A,ノーザンダンサー,Sea Symphony,トウルビヨン,Tamerlane,kon1,ブランドフォード,Tiepoletto,st1,トウルビヨン,Literat,kon1,ヘロド,Authi,sy1,ハイペリオン,Shirley Heights,sp1,ミルリーフ,Sharpen Up,sp1sy1,エタン,Northern Dancer,st2kon1,ノーザンダンサー,Faraway Son,st1,トウルビヨン
Horlicks,50000,芦毛,晩成,芝,先,A+,A+,A+,A+,S+,S+,1800,2400,★,,フェアウェイ,Three Legs,#N/A,フェアウェイ,Malt,トウルビヨン,Petingo,kon1,フェアウェイ,Teodora,ファラリス,Moss Trooper,#N/A,トウルビヨン,Frill,マッチェム,Petition,st1,フェアウェイ,Alcazar,ブランドフォード,Hard Sauce,#N/A,ファラリス,Tellastory,セントサイモン,Levmoss,#N/A,トウルビヨン,Forest Friend,ハイペリオン,Agricola,#N/A,マッチェム,Froth,ブランドフォード,Fair Trial,sp1,フェアウェイ,Alycidon,#N/A,ブランドフォード,Ardan,#N/A,ファラリス,Tulyar,#N/A,セントサイモン,Le Levanstell,#N/A,トウルビヨン,Linacre,#N/A,ハイペリオン,Precipitation,#N/A,マッチェム,Faux Tirage,#N/A,ブランドフォード
Black Caviar,50000,黒鹿毛,遅め,芝,自,S+,A,B+,S+,S+,S+,1000,1600,★,,ニジンスキー,Bel Esprit,#N/A,ニジンスキー,Helsinge,グリーンデザート,ロイヤルアカデミーII,kon1,ニジンスキー,Bespoken,フェアウェイ,Desert Sun,#N/A,グリーンデザート,Scandinavia,トムフール,Nijinsky,sp2st1,ニジンスキー,Crimson Saint,ヒムヤー,Vain,#N/A,フェアウェイ,Vin d'Amour,トムフール,Green Desert,sp2sy1,グリーンデザート,Solar,ファラリス,Snippets,#N/A,トムフール,Song of Norway,フェアウェイ,Northern Dancer,st2kon1,ノーザンダンサー,Crimson Satan,kon1,ヒムヤー,Wilkes,#N/A,フェアウェイ,Adios,#N/A,トムフール,Danzig,sp2sy1,ダンチヒ,Hotfoot,#N/A,ファラリス,Lunchtime,#N/A,トムフール,Vain,#N/A,フェアウェイ
Danedream,50000,鹿毛,遅め,芝,先,A,S,S,A,S+,S+,2200,2800,★,,ニジンスキー,Lomitas,#N/A,ニジンスキー,Danedrop,デインヒル,Niniski,sp1,ニジンスキー,La Colorada,ヘロド,デインヒル,sp2sy1,デインヒル,Rose Bonbon,ネアルコ,Nijinsky,sp2st1,ニジンスキー,Virginia Hills,リボー,Surumu,kon1,ヘロド,La Dorada,エクリプス,Danzig,sp2sy1,ダンチヒ,Razyana,リボー,High Top,kon1,ネアルコ,Lady Berry,トウルビヨン,Northern Dancer,st2kon1,ノーザンダンサー,Tom Rolfe,st1,リボー,Literat,kon1,ヘロド,Kronzeuge,#N/A,エクリプス,Northern Dancer,st2kon1,ノーザンダンサー,His Majesty,sy1,リボー,Derring-Do,sp1kon1,ネアルコ,Violon d'Ingres,sp1,トウルビヨン
Goldikova,50000,鹿毛,早め,芝,先,S+,A,B+,S+,S+,S+,1000,1600,★,,ダンチヒ,Anabaa,#N/A,ダンチヒ,Born Gold,ブラッシンググルーム,Danzig,sp2sy1,ダンチヒ,Balbonella,ハイペリオン,Blushing Groom,sp2,ブラッシンググルーム,Riviere D'or,リファール,Northern Dancer,st2kon1,ノーザンダンサー,Pas de Nom,テディ,ゲイメセン,st1,ハイペリオン,Bamieres,ナスルーラ,Red God,sp2,レッドゴッド,Runaway Bride,セントサイモン,Lyphard,sp2sy1,リファール,Gold River,ナスルーラ,Nearctic,sp1st1,ニアークティック,Admiral's Voyage,st1,テディ,Vaguely Noble,st1,ハイペリオン,Riverman,sp1kon1,ナスルーラ,Nasrullah,sp2sy1,ナスルーラ,Wild Risk,kon1,セントサイモン,Northern Dancer,st2kon1,ノーザンダンサー,Riverman,sp1kon1,ナスルーラ
Treve,50000,鹿毛,早め,芝,差,A+,A+,A+,A+,S+,S+,1800,2400,★,,サドラーズウェルズ,Motivator,#N/A,サドラーズウェルズ,Trevise,ダンチヒ,Montjeu,#N/A,サドラーズウェルズ,Out West,ゴーンウエスト,Anabaa,#N/A,ダンチヒ,Trevillari,ナスルーラ,Sadler's Wells,st2kon1,サドラーズウェルズ,Floripedes,ネアルコ,Gone West,sp1kon1,ゴーンウエスト,Chellingoua,エタン,Danzig,sp2sy1,ダンチヒ,Balbonella,ハイペリオン,Riverman,sp1kon1,ナスルーラ,Trevilla,リファール,Northern Dancer,st2kon1,ノーザンダンサー,Top Ville,sp1,ネアルコ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Sharpen Up,sp1sy1,エタン,Northern Dancer,st2kon1,ノーザンダンサー,ゲイメセン,st1,ハイペリオン,Never Bend,sp2sy1,ネヴァーベンド,Lyphard,sp2sy1,リファール
Solemia,50000,鹿毛,遅め,芝,先,A,S,S,A,S+,S+,2200,2800,★,,サドラーズウェルズ,Poliglote,#N/A,サドラーズウェルズ,Brooklyn's Dance,ミルリーフ,Sadler's Wells,st2kon1,サドラーズウェルズ,Alexandrie,ブランドフォード,Shirley Heights,sp1,ミルリーフ,Vallee Dansante,リファール,Northern Dancer,st2kon1,ノーザンダンサー,Fairy Bridge,ヘイルトゥリーズン,Val de l'Orne,#N/A,ブランドフォード,Apachee,サーゲイロード,Mill Reef,st2kon1,ミルリーフ,Hardiemma,ファラリス,Lyphard,sp2sy1,リファール,Green Valley,ブランドフォード,Nearctic,sp1st1,ニアークティック,Bold Reason,#N/A,ヘイルトゥリーズン,Val de Loir,kon1,ブランドフォード,Sir Gaylord,sp2kon1,サーゲイロード,Never Bend,sp2sy1,ネヴァーベンド,ハーディカヌート,#N/A,ファラリス,Northern Dancer,st2kon1,ノーザンダンサー,Val de Loir,kon1,ブランドフォード
